District Name,School Code,School Name,Year,State Board Region,Grade Span,Missed Days due to Hurricane Florence,Subgroup,ACT/ACT WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent
Charlotte-Mecklenburg Schools,600579,West Mecklenburg High,'18-'19,Southwest,12-Sep,3,Not a Student with Disabilities,26.5,>95,76.3,72.5
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,All Students,29.6,88.1,76.5,80.6
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Female,38.9,89.2,81.2,88.7
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Male,20.5,87.1,72.4,73.8
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Asian,*,91.7,90,81.8
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Black,29,88.1,80,86.9
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Hispanic,26.7,90.4,71.1,72.4
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Two or More Races,*,*,*,76.5
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,White,40,68.8,60,60
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Economically Disadvantaged,28.4,85.1,71.9,75.5
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,English Learner,<5,85.7,67.1,67.7
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Students With Disabilities,<5,35.4,55.9,66.7
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Homeless,27.8,81.8,66,79.3
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Not Economically Disadvantaged,30.2,89.7,79.1,83.3
Charlotte-Mecklenburg Schools,600592,Vance High,'18-'19,Southwest,12-Sep,3,Not a Student with Disabilities,31.5,>95,79.3,82.2
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,All Students,93.5,>95,>95,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Female,94.2,>95,*,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Male,92.5,>95,*,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Black,83.3,>95,*,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,White,>95,>95,*,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Economically Disadvantaged,86.7,>95,*,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Academically or Intellectually Gifted,>95,>95,*,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Not Economically Disadvantaged,94.8,>95,>95,*
Charlotte-Mecklenburg Schools,600594,Merancas Middle College High,'18-'19,Southwest,13-Nov,3,Not a Student with Disabilities,93.4,>95,>95,*
